token,condition_id,question,domain,end_date,entry_date,days_to_res,vix_max45,regime,in_strategy,entry_mid,entry_ask,spread,current_price,status,exit_date,outcome,pnl
25525886838936661349801315808447476243176190100445157889430252006398510133975,0x9d3f02264a94bafc676afd7add8b11442e6ec72dabaa69cefef835f0672275c7, Iran agrees to end enrichment of uranium by June 30?,geopolitics,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.025,0.026,0.001,0.0115,open,,,
10547381015916960267379463101229159185405356924982461726471550099674011526491,0xb5c0abeecb5502e6e8d83155c27819174d8317af3c425c3afc5a8c45257a3793,Will the Fed increase interest rates by 25 bps after the July 2026 meeting?,crypto/financial,2026-07-29T00:00:00Z,2026-06-24,34.05,22.2,calm,True,0.2325,0.233,0.0005,0.2365,open,,,
104510220350712683638324057138337438666546691080996862248324351110206545999142,0x86f43746cbd692719483aaeedc657eef89d9ffb91d6ffceacb1edf533e049516,"Israel x Hezbollah permanent peace deal by June 30, 2026?",geopolitics,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.0305,0.032,0.0015,0.0265,open,,,
1294301106000867191772806529332889741277848776146041262771462884723167975461,0x6992fdf39435fb8aa0b765e24f98cb621fd1f7b6458865387c0ea303da2f0003,"Will Bitcoin dip to $57,500 in June?",crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.345,0.346,0.001,0.3295,open,,,
67468426477709602554310208148215284365777653659253739974001179907439821099486,0xadebd6bbf401c9509dd2e78b65a16b567f1f386dccd8cac86cd389bb53ec3a58,"Will Bitcoin dip to $55,000 in June?",crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.1165,0.117,0.0005,0.1105,open,,,
90748303271768087864817570669038897543718042546565010177320839164636896249512,0x1be62d973dc8fb45de714eb2113118b6ac3e47694f8b0801c0c41d992d0b7c9f,Will Trump agree to Iranian transit fees in the Strait of Hormuz by June 30?,politics,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.0205,0.021,0.0005,0.0215,open,,,
24338497379808662765028870623965095887182810174570089849255031921551135236587,0x41ba322441190c465ec75e5866c6a5a3d429cf4d1efe2682026e8dcd5dbc37db,Will Trump agree to Iranian enrichment of uranium by June 30?,politics,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.0445,0.048,0.0035,0.031,open,,,
101749127545307491315927590716033451355094513383289265062364696516616310276618,0xd61673fdbb2e2ceeeeb7ec4fbaba10859e59cbb4abc311779c114e18dbadfb1b,"Will Bitcoin dip to $50,000 in June?",crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.0215,0.023,0.0015,0.0235,open,,,
40924372452194894059824027978502035824140061227534345603992680050027534637928,0xc6d651e1f7f9fc47f0079c1fba2fc18290cd8a45644f76f73ef7a1ae35f8d65f,"Will Bitcoin dip to $52,500 in June?",crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.051,0.053,0.002,0.0455,open,,,
69368865071658343316588799477131756464897965279504500395615173788537348857766,0x1723b7ee4118dee6ae6be8802cb7b6e239c37d199997b20a8191e32553a5bd68,Iran agrees to unrestricted shipping through Hormuz by June 30?,geopolitics,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.021,0.024,0.003,0.021,open,,,
16135877431493446607671189039636933475006610052936539113372827096084184825048,0x75a50ed92507226816900d6da63984b4db752ad3a3f73e691514416cc5ccd980,"Will Bitcoin reach $67,500 in June?",crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.0555,0.059,0.0035,0.0465,open,,,
37916433699926811417004179134161547895432712920399631263024897709000164571185,0x5813dc7ee3feea004711c97bdf27c407c3e943d876432ef50b49b8399eae9f37,"Israel withdraws from Lebanon by July 31, 2026?",geopolitics,2026-07-31T00:00:00Z,2026-06-24,36.05,22.2,calm,True,0.055,0.06,0.005,0.045,open,,,
83617518285238151274836063590312610477192655509253955921300675735811392416805,0x3fe18d2b6303ee3a7e406aab679dbc0b0f7504dc6b477a31c69c6ffb04e9e11c,"Israel strike on Yemen by June 30, 2026?",geopolitics,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.039,0.045,0.006,0.039,open,,,
