token,condition_id,question,domain,proxy,proxy_value,regime,end_date,entry_date,days_to_res,entry_ask,current_price,bet_fraction,status,exit_date,outcome,pnl
104510220350712683638324057138337438666546691080996862248324351110206545999142,0x86f43746cbd692719483aaeedc657eef89d9ffb91d6ffceacb1edf533e049516,"Israel x Hezbollah permanent peace deal by June 30, 2026?",geopolitics,GPR index,199.48,calm,2026-06-30T00:00:00Z,2026-06-25,4.94,0.027,0.0065,0.1,lost,2026-06-28,0.0,-0.1
37916433699926811417004179134161547895432712920399631263024897709000164571185,0x5813dc7ee3feea004711c97bdf27c407c3e943d876432ef50b49b8399eae9f37,"Israel withdraws from Lebanon by July 31, 2026?",geopolitics,GPR index,199.48,calm,2026-07-31T00:00:00Z,2026-06-25,35.94,0.05,0.0095,0.1,lost,2026-07-03,0.0,-0.1
83617518285238151274836063590312610477192655509253955921300675735811392416805,0x3fe18d2b6303ee3a7e406aab679dbc0b0f7504dc6b477a31c69c6ffb04e9e11c,"Israel strike on Yemen by June 30, 2026?",geopolitics,GPR index,199.48,calm,2026-06-30T00:00:00Z,2026-06-25,4.94,0.045,0.0085,0.1,lost,2026-06-29,0.0,-0.1
27530489613290284177027370919181618196698554516289292486210046237058588430612,0xc11f41372087c4d934ae7adb869ff08272b2bcb3e242d4e628330353c130e480,"Iran agrees to surrender enriched uranium stockpile by July 31, 2026?",geopolitics,GPR index,199.48,calm,2026-07-31T00:00:00Z,2026-06-25,35.94,0.042,0.0095,0.1,lost,2026-07-10,0.0,-0.1
77152027450456333550959508442257151683880731695566175608498837932589686697330,0x91a0b4ff72ad76f01abf986e18aa8d226a5172760fffdc3687b78c580692bca2,"Israel x Hezbollah permanent peace deal by July 31, 2026?",geopolitics,GPR index,199.48,calm,2026-07-31T00:00:00Z,2026-06-25,35.94,0.1,0.0095,0.1,lost,2026-07-18,0.0,-0.1
74748380065322490746235048550669785683312459873369875699487849822717961671818,0x151b13b0d75a282ea864a2835963c0164c03e8fa3064c4d44026e3af5f2ff8d4, Iran agrees to end enrichment of uranium by July 31?,geopolitics,GPR index,199.48,calm,2026-07-31T00:00:00Z,2026-06-25,35.94,0.09,0.01,0.1,lost,2026-07-18,0.0,-0.1
92557339599379991257792137259949406096653890374419429974555855496093508422916,0xb23587fc1e319cdf9aaa12c503f6b2149c820c3d64ded3c98b4ff6719cac78fe,Will Russia capture Kostyantynivka by June 30?,geopolitics,GPR index,199.48,calm,2026-06-30T12:00:00Z,2026-06-25,5.44,0.207,0.0015,0.1,lost,2026-07-01,0.0,-0.1
83949391398129766321449386019175318571490128024347049307900487790711865604735,0xb12f5e328a7d9f7a26e0a074625ea775025104e673c776d575dab422a472ef59,Israel closes its airspace by July 31?,geopolitics,GPR index,199.48,calm,2026-07-31T00:00:00Z,2026-06-25,35.94,0.12,0.008,0.1,lost,2026-07-31,0.0,-0.1
13271459809573599213395755912718751855908430661359993870080462558598871265743,0x6169a5cf74516d65914ddf6b254c65d68dd2bfaab725c056d5db2ad65b9482c2,Israel closes its airspace by July 15?,geopolitics,GPR index,199.48,calm,2026-07-15T00:00:00Z,2026-06-25,19.94,0.07,0.01,0.1,lost,2026-07-15,0.0,-0.1
57576180853051072480572396298174288536127364994302333888366121364947216503670,0x1a8808d7a309a210b3e413331005c3d7e8cd27d2da4a4acd4ff04b4072d2ed81,"Israel x Iran permanent peace deal by July 31, 2026?",geopolitics,GPR index,199.48,calm,2026-07-31T00:00:00Z,2026-06-25,35.94,0.07,0.01,0.1,lost,2026-07-15,0.0,-0.1
75342601497089508883276927505926667289058707579736385719204195953768479770485,0x676e7cda423f5826bcbb3c141e808ad7c66bc2d055e4d0aca79c26779712062c,Israel closes its airspace by June 30?,geopolitics,GPR index,199.48,calm,2026-06-30T00:00:00Z,2026-06-25,4.85,0.021,0.0075,0.1,lost,2026-06-28,0.0,-0.1
69368865071658343316588799477131756464897965279504500395615173788537348857766,0x1723b7ee4118dee6ae6be8802cb7b6e239c37d199997b20a8191e32553a5bd68,Iran agrees to unrestricted shipping through Hormuz by June 30?,geopolitics,GPR index,199.48,calm,2026-06-30T00:00:00Z,2026-06-25,4.85,0.024,0.0095,0.1,lost,2026-06-27,0.0,-0.1
82868286797794188239022438027473327497775755621351194640712467753370979176610,0x089a0dcb8e611a4c913f3f07221d02ab481e9eb61009cfdce1750491f20fb4a7,"Will Ukraine recapture Crimean territory by June 30, 2026?",geopolitics,GPR index,199.48,calm,2026-06-30T00:00:00Z,2026-06-25,4.53,0.048,0.0035,0.1,lost,2026-06-25,0.0,-0.1
78131779655892490135889304641021297847464061968260305833894799037195285124760,0x26ca74d41edc9e3a6643698fbe8eae446377e4579d2f55f505da4ff6a1cf0f66,Trump announces US x Iran ceasefire over by June 30?,geopolitics,GPR index,199.48,calm,2026-07-01T03:59:00Z,2026-06-25,5.21,0.035,0.01,0.05,lost,2026-06-28,0.0,-0.05
92620053291437178408624134613234863863355542905625137391533621047318876379245,0xd69278d0e73aa1db4520dba8fb48a0a00a2dfd04e7df26b347bbf3875e5d7393,Saudi Arabia bans US military aircraft by June 30?,geopolitics,GPR index,199.48,calm,2026-06-30T00:00:00Z,2026-06-27,2.76,0.059,0.0055,0.05,lost,2026-06-27,0.0,-0.05
96125857565472990401175521466987279074737231208177130423351312642992689722753,0xbad704f2ae063322169bf3add805258727ecd3e6c0ad37fc7e6590c993375732,"NATO x Russia military clash by June 30, 2026?",geopolitics,GPR index,199.48,calm,2026-06-30T00:00:00Z,2026-06-27,2.42,0.028,0.0065,0.05,lost,2026-06-27,0.0,-0.05
15633154783541507670612702084397504431047786317294274565096321513324678298222,0x545e1bf6ec42e0e8a776a3c3e11ed225f8d3dfcc74f98656e142f99a2b718383,"US x Iran diplomatic meeting by July 3, 2026?",geopolitics,GPR index,199.48,calm,2026-07-03T23:59:00Z,2026-06-29,4.85,0.21,0.0085,0.05,lost,2026-07-02,0.0,-0.05
59540726726105191759377646221923566586595020352558312380615459160189274262446,0x61dcae8107169382527c8dac1fcd0e214b4b4267b65d0e6fd4872736d373f360,"US-Iran Final Nuclear Deal by July 31, 2026?",geopolitics,GPR index,199.48,calm,2026-07-31T23:59:00Z,2026-06-29,32.5,0.032,0.01,0.05,lost,2026-07-08,0.0,-0.05
