token,condition_id,question,domain,end_date,entry_date,n_smart_buyers,buyers,bet_fraction,entry_mid,entry_ask,spread,current_price,status,exit_date,outcome,pnl
25317780265010988489340689133045866068433464491020332222476370977600301022698,0x652a7e27819c8aa682f1013295dd637c000133862850d96143e48a1815b94d38,Will Croatia win on 2026-06-23?,other,,2026-06-23,2,,0.1,0.405,0.41,0.005,0.0,lost,2026-06-24,0.0,-0.1
104691321042393634582885150474615372905285038741741080526497276805584723831939,0xb74483c33ae08dd756abaae761e129fb321f4ac7f3b128043e4948983f6e32db,Boston Red Sox vs. Colorado Rockies,other,,2026-06-24,2,,0.1,0.255,0.28,0.025,0.0,lost,2026-06-24,0.0,-0.1
115556263888245616435851357148058235707004733438163639091106356867234218207169,0x375409bc5eeeff961e82b479caeccc20f33d15738e5bce1186d628aa3d9dfb1f,Will England win the 2026 FIFA World Cup?,sports,,2026-06-24,2,,0.1,0.1085,0.109,0.0005,0.0995,flipped,2026-06-30,,-0.0087
67466148034529849001749283892995420841255740280965377423907471965663421834164,0x1f5cd4d1a23c11229b2781303dd39fb60ec6ee369dd173cedef8a7f7a1a27298,Will Mexico win on 2026-06-24?,other,,2026-06-24,2,,0.1,0.505,0.51,0.005,1.0,won,2026-06-25,1.0,0.0961
78041669573197271831143243516603089617333411410934465631182277350983388128942,0x374d4c9c12e766653de985450899cf2181edf47189894bc9c870216b5c6b1d83,Will Korea Republic win on 2026-06-24?,other,,2026-06-24,2,,0.1,0.615,0.62,0.005,0.0,lost,2026-06-25,0.0,-0.1
69607356357270818627215361066588335481465339992439698739056695862643500497649,0xf0164e968314bae58a0440248e2abd20ee9e4704df2b24c98c50072006b26315,Spread: Morocco (-1.5),other,,2026-06-24,2,,0.1,0.515,0.52,0.005,1.0,won,2026-06-25,1.0,0.0923
19214394437683566921750936876376421489271269944393354497977881791256347396217,0xd2a8caba5559bc21e14f6b2aa504cb14a1782751658b71409e25b82e432c0a97,Will Lionel Messi be the top goalscorer at the 2026 FIFA World Cup?,sports,,2026-06-24,2,,0.1,0.3815,0.382,0.0005,0.3815,flipped,2026-06-27,,-0.0001
47236739815607347436394828740644657912816815268002585518946427187074399713739,0x32552863fe8014da2613037970661f0d49f415c86a88cb3d65af7a43395bc4ad,Will United States win on 2026-06-25?,other,,2026-06-25,2,,0.1,0.515,0.52,0.005,0.0,lost,2026-06-26,0.0,-0.1
108233603819467706476318984012158651931658302669301887462181073562758483842092,0x9b6fef249040fd17e9c107955b37ac2c3e923509b6b0ff01cc463a331ddeb894,Will France win the 2026 FIFA World Cup?,sports,,2026-06-25,2,,0.1,0.1935,0.194,0.0005,0.3765,flipped,2026-07-10,,0.0941
81739002353269632749850710185641576213562066971072676369728657545679630163887,0x1595b4818eeb1ea1e0bec5de6f057218e557feee9b405a0e930d290384fa1d16,Will Germany win the 2026 FIFA World Cup?,sports,,2026-06-25,2,,0.1,0.0525,0.053,0.0005,0.0,lost,2026-06-29,0.0,-0.1
109346928118758112535699085058290058645349086894874742550948182824395861480007,0xfa021d817ad33e0fa28e04051b4fea25b0a090e94bb1b2a38b377bce9778eb8e,Will Kylian Mbappe be the top goalscorer at the 2026 FIFA World Cup?,sports,,2026-06-25,2,,0.1,0.285,0.29,0.005,0.395,flipped,2026-07-02,,0.0362
101279272797775203956659007084828831261331275405585994446661991301016814257223,0xe690620297dfea974d20df84b4cf90460e46a26ec864353482717b90509a3c0b,Will Germany win on 2026-06-25?,other,,2026-06-25,2,,0.1,0.6585,0.659,0.0005,0.0,lost,2026-06-25,0.0,-0.1
96011621726517584870166448716525831020662124871593355814762549708680109101202,0xa1b3158fedfddaf2a0d8b364f6a57ee68146fb6ad458222aa8e02bcf0abbb099,"US-Iran Final Nuclear Deal by August 31, 2026?",geopolitics,,2026-06-25,2,,0.1,0.75,0.76,0.01,0.925,flipped,2026-07-20,,0.0217
14621976022388339155866443939403907158807725281606484508612016632018100973573,0x44e25f753ae47dbdf2705d35e0a45db24d3a1b2996b82a1350ade2c7e92c4f93,Will Ecuador win on 2026-06-25?,other,,2026-06-25,2,,0.1,0.2445,0.245,0.0005,1.0,won,2026-06-25,1.0,0.3082
70566539164522511722828177783160715084896495583002505290034774563092926817611,0x556b2042ebc85221bb402de322a8724f149b8c95b520831bade2316565e3ca84,Spread: Côte d'Ivoire (-2.5),other,,2026-06-25,2,,0.1,0.345,0.35,0.005,0.0,lost,2026-06-25,0.0,-0.1
12895713634933367223676558147527749758143822673340639855731583908529004951892,0xe690620297dfea974d20df84b4cf90460e46a26ec864353482717b90509a3c0b,Will Germany win on 2026-06-25?,other,,2026-06-25,2,,0.1,0.5575,0.558,0.0005,1.0,won,2026-06-25,1.0,0.0792
135792657791879031181866023056748029392055768984822794561479819351684481583,0x44e25f753ae47dbdf2705d35e0a45db24d3a1b2996b82a1350ade2c7e92c4f93,Will Ecuador win on 2026-06-25?,other,,2026-06-25,2,,0.1,0.0885,0.089,0.0005,0.0,lost,2026-06-25,0.0,-0.1
2168300481720050252613475182648236979981975066763338195177303410784457081256,0xbc733b27510a37833afa638c3aeabec2811dffbb996c6bd1c735337f13f85bed,Ecuador vs. Germany: O/U 3.5,other,,2026-06-25,2,,0.1,0.155,0.16,0.005,0.0,lost,2026-06-25,0.0,-0.1
46418017478244829117932747089683624248579292858236918683397159778129811183207,0xbc733b27510a37833afa638c3aeabec2811dffbb996c6bd1c735337f13f85bed,Ecuador vs. Germany: O/U 3.5,other,,2026-06-25,2,,0.1,0.845,0.85,0.005,1.0,won,2026-06-25,1.0,0.0176
91950065488766573708932496548470194753345637125257652496385867227542555589998,0x70de9477cf371879e4f7792efa3ca1b651978051da5b595eaf28c799043fe6c1,Curaçao vs. Côte d'Ivoire: O/U 2.5,other,,2026-06-25,2,,0.1,0.835,0.84,0.005,1.0,won,2026-06-25,1.0,0.019
43989461969701523553938178944013461049088050453506623070772144510770232513573,0x70de9477cf371879e4f7792efa3ca1b651978051da5b595eaf28c799043fe6c1,Curaçao vs. Côte d'Ivoire: O/U 2.5,other,,2026-06-25,2,,0.1,0.165,0.17,0.005,0.0,lost,2026-06-25,0.0,-0.1
35055812281614567167447329986068229013311163972057981024011021716658025278745,0x85959f9f1d190d2ca5545ed29ce442ea6a32895ac74f5bd4a72357a77b6bf4d4,Spread: Ecuador (-1.5),other,,2026-06-25,2,,0.1,0.057,0.059,0.002,0.0,lost,2026-06-25,0.0,-0.1
18812649149814341758733697580460697418474693998558159483117100240528657629879,0x0c4cd2055d6ea89354ffddc55d6dbcef9355748112ea952fc925f3db6a5c457f,Will Argentina win the 2026 FIFA World Cup?,sports,,2026-06-25,2,,0.1,0.1445,0.145,0.0005,0.1935,flipped,2026-06-30,,0.0334
101491499269793539765890729500440478078979559571972876836355209033272846559170,0xe1bd581c13be7103749ca1a64d21230ed6693a162fc057d81e3d1e9237fc81f8,Will Japan win on 2026-06-25?,other,,2026-06-25,2,,0.1,0.412,0.413,0.001,0.0,lost,2026-06-26,0.0,-0.1
106929013576622300718402895513457875547556389240247806666273814836599548721421,0xb8e6d129a06d0ccb21d7b32eb529ea455eddba3cf29bfa097112202cbdf5bf21,Strait of Hormuz traffic returns to normal by July 31?,other,,2026-06-25,2,,0.1,0.475,0.48,0.005,0.0035,open,,,
23905785647225133250068955131316534532801742215919018709867564550696854194755,0x81cef42df3d25aecf0bf7e96c344202e86f447f2f3ba2e4b8eb59f4680efeb22,Will Türkiye win on 2026-06-25?,other,,2026-06-26,2,,0.1,0.175,0.18,0.005,1.0,won,2026-06-26,1.0,0.4556
17717597373323256775693811449260594817248168951449996960140191940378256217983,0x10312b76609d2993fa69f27b037075b461b2ff7983911ec34c01a8a2f5c4d345,Türkiye vs. United States: O/U 5.5,other,,2026-06-26,2,,0.1,0.655,0.66,0.005,1.0,won,2026-06-26,1.0,0.0515
78446213956623244937436196998053622507166694969601673053021357125863304081065,0x09620e07d807241bb41e5cf07d42dfd3e08943ee39e5c93ae3890e3b6164822e,Will France win on 2026-06-26?,other,,2026-06-26,3,,0.1,0.285,0.29,0.005,0.0,lost,2026-06-26,0.0,-0.1
67725404666433555568518066011245937746455974844800713635030484522525394449095,0x0061b1d4b49c44a05365d60389167968baf42f2b1ab99c3d8b80a8554980d9e8,Will Norway vs. France end in a draw?,other,,2026-06-26,2,,0.1,0.165,0.17,0.005,0.0,lost,2026-06-26,0.0,-0.1
